entity_id,entity_type,entity_name,symbol,exchange,sector,is_active
STK_COCHINSHIP,STOCK,Cochin Shipyard Ltd.,COCHINSHIP,NSE,,TRUE
STK_COFORGE,STOCK,Coforge Ltd.,COFORGE,NSE,,TRUE
STK_COHANCE,STOCK,Cohance Lifesciences Ltd.,COHANCE,NSE,,TRUE
STK_COLPAL,STOCK,Colgate Palmolive (India) Ltd.,COLPAL,NSE,,TRUE
STK_CAMS,STOCK,Computer Age Management Services Ltd.,CAMS,NSE,,TRUE
STK_CONCORDBIO,STOCK,Concord Biotech Ltd.,CONCORDBIO,NSE,,TRUE
STK_CONCOR,STOCK,Container Corporation of India Ltd.,CONCOR,NSE,,TRUE
STK_COROMANDEL,STOCK,Coromandel International Ltd.,COROMANDEL,NSE,,TRUE
STK_CRAFTSMAN,STOCK,Craftsman Automation Ltd.,CRAFTSMAN,NSE,,TRUE
STK_CREDITACC,STOCK,CreditAccess Grameen Ltd.,CREDITACC,NSE,,TRUE
STK_CROMPTON,STOCK,Crompton Greaves Consumer Electricals Ltd.,CROMPTON,NSE,,TRUE
STK_CUMMINSIND,STOCK,Cummins India Ltd.,CUMMINSIND,NSE,,TRUE
STK_CYIENTDLM,STOCK,Cyient DLM Ltd.,CYIENTDLM,NSE,,TRUE
STK_CYIENT,STOCK,Cyient Ltd.,CYIENT,NSE,,TRUE
STK_DCBBANK,STOCK,DCB Bank Ltd.,DCBBANK,NSE,,TRUE
STK_DCMSHRIRAM,STOCK,DCM Shriram Ltd.,DCMSHRIRAM,NSE,,TRUE
STK_DLF,STOCK,DLF Ltd.,DLF,NSE,,TRUE
STK_DOMS,STOCK,DOMS Industries Ltd.,DOMS,NSE,,TRUE
STK_DABUR,STOCK,Dabur India Ltd.,DABUR,NSE,,TRUE
STK_DALBHARAT,STOCK,Dalmia Bharat Ltd.,DALBHARAT,NSE,,TRUE
STK_DATAPATTNS,STOCK,Data Patterns (India) Ltd.,DATAPATTNS,NSE,,TRUE
STK_DATAMATICS,STOCK,Datamatics Global Services Ltd.,DATAMATICS,NSE,,TRUE
STK_DEEPAKFERT,STOCK,Deepak Fertilisers & Petrochemicals Corp. Ltd.,DEEPAKFERT,NSE,,TRUE
STK_DEEPAKNTR,STOCK,Deepak Nitrite Ltd.,DEEPAKNTR,NSE,,TRUE
STK_DELHIVERY,STOCK,Delhivery Ltd.,DELHIVERY,NSE,,TRUE
STK_DEVYANI,STOCK,Devyani International Ltd.,DEVYANI,NSE,,TRUE
STK_DHANUKA,STOCK,Dhanuka Agritech Ltd.,DHANUKA,NSE,,TRUE
STK_DIACABS,STOCK,Diamond Power Infrastructure Ltd.,DIACABS,NSE,,TRUE
STK_DBL,STOCK,Dilip Buildcon Ltd.,DBL,NSE,,TRUE
STK_DCAL,STOCK,Dishman Carbogen Amcis Ltd.,DCAL,NSE,,TRUE
STK_DIVISLAB,STOCK,Divi's Laboratories Ltd.,DIVISLAB,NSE,,TRUE
STK_DIXON,STOCK,Dixon Technologies (India) Ltd.,DIXON,NSE,,TRUE
STK_DODLA,STOCK,Dodla Dairy Ltd.,DODLA,NSE,,TRUE
STK_AGARWALEYE,STOCK,Dr. Agarwal's Health Care Ltd.,AGARWALEYE,NSE,,TRUE
STK_LALPATHLAB,STOCK,Dr. Lal Path Labs Ltd.,LALPATHLAB,NSE,,TRUE
STK_DRREDDY,STOCK,Dr. Reddy's Laboratories Ltd.,DRREDDY,NSE,,TRUE
STK_DUMMYALCAR,STOCK,Dummy Allcargo Logistics Ltd.,DUMMYALCAR,NSE,,TRUE
STK_DUMMYHDLVR,STOCK,Dummy Hindustan Unilever Ltd.,DUMMYHDLVR,NSE,,TRUE
STK_DYNAMATECH,STOCK,Dynamatic Technologies Ltd.,DYNAMATECH,NSE,,TRUE
STK_EIDPARRY,STOCK,E.I.D. Parry (India) Ltd.,EIDPARRY,NSE,,TRUE
STK_EIHOTEL,STOCK,EIH Ltd.,EIHOTEL,NSE,,TRUE
STK_EPL,STOCK,EPL Ltd.,EPL,NSE,,TRUE
STK_EASEMYTRIP,STOCK,Easy Trip Planners Ltd.,EASEMYTRIP,NSE,,TRUE
STK_EDELWEISS,STOCK,Edelweiss Financial Services Ltd.,EDELWEISS,NSE,,TRUE
STK_EICHERMOT,STOCK,Eicher Motors Ltd.,EICHERMOT,NSE,,TRUE
STK_ELECON,STOCK,Elecon Engineering Co. Ltd.,ELECON,NSE,,TRUE
STK_EMIL,STOCK,Electronics Mart India Ltd.,EMIL,NSE,,TRUE
STK_ELECTCAST,STOCK,Electrosteel Castings Ltd.,ELECTCAST,NSE,,TRUE
STK_ELGIEQUIP,STOCK,Elgi Equipments Ltd.,ELGIEQUIP,NSE,,TRUE
STK_EMAMILTD,STOCK,Emami Ltd.,EMAMILTD,NSE,,TRUE
STK_EMBDL,STOCK,Embassy Developments Ltd.,EMBDL,NSE,,TRUE
STK_EMCURE,STOCK,Emcure Pharmaceuticals Ltd.,EMCURE,NSE,,TRUE
STK_ENDURANCE,STOCK,Endurance Technologies Ltd.,ENDURANCE,NSE,,TRUE
STK_ENGINERSIN,STOCK,Engineers India Ltd.,ENGINERSIN,NSE,,TRUE
STK_ENTERO,STOCK,Entero Healthcare Solutions Ltd.,ENTERO,NSE,,TRUE
STK_EIEL,STOCK,Enviro Infra Engineers Ltd.,EIEL,NSE,,TRUE
STK_EPIGRAL,STOCK,Epigral Ltd.,EPIGRAL,NSE,,TRUE
STK_EQUITASBNK,STOCK,Equitas Small Finance Bank Ltd.,EQUITASBNK,NSE,,TRUE
STK_ERIS,STOCK,Eris Lifesciences Ltd.,ERIS,NSE,,TRUE
STK_ESCORTS,STOCK,Escorts Kubota Ltd.,ESCORTS,NSE,,TRUE
STK_ETERNAL,STOCK,Eternal Ltd.,ETERNAL,NSE,,TRUE
STK_ETHOSLTD,STOCK,Ethos Ltd.,ETHOSLTD,NSE,,TRUE
STK_EUREKAFORB,STOCK,Eureka Forbes Ltd.,EUREKAFORB,NSE,,TRUE
STK_EXIDEIND,STOCK,Exide Industries Ltd.,EXIDEIND,NSE,,TRUE
STK_FDC,STOCK,FDC Ltd.,FDC,NSE,,TRUE
STK_NYKAA,STOCK,FSN E-Commerce Ventures Ltd.,NYKAA,NSE,,TRUE
STK_FEDERALBNK,STOCK,Federal Bank Ltd.,FEDERALBNK,NSE,,TRUE
STK_FACT,STOCK,Fertilisers and Chemicals Travancore Ltd.,FACT,NSE,,TRUE
STK_FIEMIND,STOCK,Fiem Industries Ltd,FIEMIND,NSE,,TRUE
STK_FINEORG,STOCK,Fine Organic Industries Ltd.,FINEORG,NSE,,TRUE
STK_FINCABLES,STOCK,Finolex Cables Ltd.,FINCABLES,NSE,,TRUE
STK_FINPIPE,STOCK,Finolex Industries Ltd.,FINPIPE,NSE,,TRUE
STK_FSL,STOCK,Firstsource Solutions Ltd.,FSL,NSE,,TRUE
STK_FIVESTAR,STOCK,Five-Star Business Finance Ltd.,FIVESTAR,NSE,,TRUE
STK_FORCEMOT,STOCK,Force Motors Ltd.,FORCEMOT,NSE,,TRUE
STK_FORTIS,STOCK,Fortis Healthcare Ltd.,FORTIS,NSE,,TRUE
STK_GRINFRA,STOCK,G R Infraprojects Ltd.,GRINFRA,NSE,,TRUE
STK_GAIL,STOCK,GAIL (India) Ltd.,GAIL,NSE,,TRUE
STK_GVT&D,STOCK,GE Vernova T&D India Ltd.,GVT&D,NSE,,TRUE
STK_GHCL,STOCK,GHCL Ltd.,GHCL,NSE,,TRUE
STK_GMMPFAUDLR,STOCK,GMM Pfaudler Ltd.,GMMPFAUDLR,NSE,,TRUE
STK_GMRAIRPORT,STOCK,GMR Airports Ltd.,GMRAIRPORT,NSE,,TRUE
STK_GMRP&UI,STOCK,GMR Power and Urban Infra Ltd.,GMRP&UI,NSE,,TRUE
STK_GABRIEL,STOCK,Gabriel India Ltd.,GABRIEL,NSE,,TRUE
STK_GALLANTT,STOCK,Gallantt Ispat Ltd.,GALLANTT,NSE,,TRUE
STK_GANESHHOU,STOCK,Ganesh Housing Ltd.,GANESHHOU,NSE,,TRUE
STK_GANECOS,STOCK,Ganesha Ecosphere Ltd.,GANECOS,NSE,,TRUE
STK_GRSE,STOCK,Garden Reach Shipbuilders & Engineers Ltd.,GRSE,NSE,,TRUE
STK_GRWRHITECH,STOCK,Garware Hi-Tech Films Ltd.,GRWRHITECH,NSE,,TRUE
STK_GARFIBRES,STOCK,Garware Technical Fibres Ltd.,GARFIBRES,NSE,,TRUE
STK_GATEWAY,STOCK,Gateway Distriparks Ltd.,GATEWAY,NSE,,TRUE
STK_GICRE,STOCK,General Insurance Corporation of India,GICRE,NSE,,TRUE
STK_GILLETTE,STOCK,Gillette India Ltd.,GILLETTE,NSE,,TRUE
STK_GLAND,STOCK,Gland Pharma Ltd.,GLAND,NSE,,TRUE
STK_GLAXO,STOCK,Glaxosmithkline Pharmaceuticals Ltd.,GLAXO,NSE,,TRUE
STK_GLENMARK,STOCK,Glenmark Pharmaceuticals Ltd.,GLENMARK,NSE,,TRUE
STK_MEDANTA,STOCK,Global Health Ltd.,MEDANTA,NSE,,TRUE
