index_entity_id,stock_entity_id
IDX_NIFTY TOTAL MKT,STK_HONAUT
IDX_NIFTY TOTAL MKT,STK_HUDCO
IDX_NIFTY TOTAL MKT,STK_HYUNDAI
IDX_NIFTY TOTAL MKT,STK_ICICIBANK
IDX_NIFTY TOTAL MKT,STK_ICICIGI
IDX_NIFTY TOTAL MKT,STK_ICICIPRULI
IDX_NIFTY TOTAL MKT,STK_IDBI
IDX_NIFTY TOTAL MKT,STK_IDFCFIRSTB
IDX_NIFTY TOTAL MKT,STK_IFBIND
IDX_NIFTY TOTAL MKT,STK_IFCI
IDX_NIFTY TOTAL MKT,STK_IIFLCAPS
IDX_NIFTY TOTAL MKT,STK_IIFL
IDX_NIFTY TOTAL MKT,STK_INOXINDIA
IDX_NIFTY TOTAL MKT,STK_IRB
IDX_NIFTY TOTAL MKT,STK_IRCON
IDX_NIFTY TOTAL MKT,STK_ITCHOTELS
IDX_NIFTY TOTAL MKT,STK_ITC
IDX_NIFTY TOTAL MKT,STK_ITI
IDX_NIFTY TOTAL MKT,STK_IMAGICAA
IDX_NIFTY TOTAL MKT,STK_INDGN
IDX_NIFTY TOTAL MKT,STK_INDIACEM
IDX_NIFTY TOTAL MKT,STK_INDIAGLYCO
IDX_NIFTY TOTAL MKT,STK_INDIASHLTR
IDX_NIFTY TOTAL MKT,STK_INDIAMART
IDX_NIFTY TOTAL MKT,STK_INDIANB
IDX_NIFTY TOTAL MKT,STK_IEX
IDX_NIFTY TOTAL MKT,STK_INDHOTEL
IDX_NIFTY TOTAL MKT,STK_IMFA
IDX_NIFTY TOTAL MKT,STK_IOC
IDX_NIFTY TOTAL MKT,STK_IOB
IDX_NIFTY TOTAL MKT,STK_IRCTC
IDX_NIFTY TOTAL MKT,STK_IRFC
IDX_NIFTY TOTAL MKT,STK_IREDA
IDX_NIFTY TOTAL MKT,STK_INDIGOPNTS
IDX_NIFTY TOTAL MKT,STK_ICIL
IDX_NIFTY TOTAL MKT,STK_IGL
IDX_NIFTY TOTAL MKT,STK_INDUSTOWER
IDX_NIFTY TOTAL MKT,STK_INDUSINDBK
IDX_NIFTY TOTAL MKT,STK_INFIBEAM
IDX_NIFTY TOTAL MKT,STK_NAUKRI
IDX_NIFTY TOTAL MKT,STK_INFY
IDX_NIFTY TOTAL MKT,STK_INGERRAND
IDX_NIFTY TOTAL MKT,STK_INNOVACAP
IDX_NIFTY TOTAL MKT,STK_INOXGREEN
IDX_NIFTY TOTAL MKT,STK_INOXWIND
IDX_NIFTY TOTAL MKT,STK_INTELLECT
IDX_NIFTY TOTAL MKT,STK_INDIGO
IDX_NIFTY TOTAL MKT,STK_IGIL
IDX_NIFTY TOTAL MKT,STK_IKS
IDX_NIFTY TOTAL MKT,STK_IONEXCHANG
IDX_NIFTY TOTAL MKT,STK_IPCALAB
IDX_NIFTY TOTAL MKT,STK_ISGEC
IDX_NIFTY TOTAL MKT,STK_JBCHEPHARM
IDX_NIFTY TOTAL MKT,STK_JKCEMENT
IDX_NIFTY TOTAL MKT,STK_JKIL
IDX_NIFTY TOTAL MKT,STK_JBMA
IDX_NIFTY TOTAL MKT,STK_JKLAKSHMI
IDX_NIFTY TOTAL MKT,STK_JKPAPER
IDX_NIFTY TOTAL MKT,STK_JKTYRE
IDX_NIFTY TOTAL MKT,STK_JMFINANCIL
IDX_NIFTY TOTAL MKT,STK_JSWENERGY
IDX_NIFTY TOTAL MKT,STK_JSWINFRA
IDX_NIFTY TOTAL MKT,STK_JSWSTEEL
IDX_NIFTY TOTAL MKT,STK_JAIBALAJI
IDX_NIFTY TOTAL MKT,STK_JISLJALEQS
IDX_NIFTY TOTAL MKT,STK_JPPOWER
IDX_NIFTY TOTAL MKT,STK_J&KBANK
IDX_NIFTY TOTAL MKT,STK_JAMNAAUTO
IDX_NIFTY TOTAL MKT,STK_JSFB
IDX_NIFTY TOTAL MKT,STK_JINDALSAW
IDX_NIFTY TOTAL MKT,STK_JSL
IDX_NIFTY TOTAL MKT,STK_JINDALSTEL
IDX_NIFTY TOTAL MKT,STK_JINDWORLD
IDX_NIFTY TOTAL MKT,STK_JIOFIN
IDX_NIFTY TOTAL MKT,STK_JCHAC
IDX_NIFTY TOTAL MKT,STK_JUBLFOOD
IDX_NIFTY TOTAL MKT,STK_JUBLINGREA
IDX_NIFTY TOTAL MKT,STK_JUBLPHARMA
IDX_NIFTY TOTAL MKT,STK_JWL
IDX_NIFTY TOTAL MKT,STK_JUSTDIAL
IDX_NIFTY TOTAL MKT,STK_JYOTHYLAB
IDX_NIFTY TOTAL MKT,STK_JYOTICNC
IDX_NIFTY TOTAL MKT,STK_KPRMILL
IDX_NIFTY TOTAL MKT,STK_KEI
IDX_NIFTY TOTAL MKT,STK_KNRCON
IDX_NIFTY TOTAL MKT,STK_KPIGREEN
IDX_NIFTY TOTAL MKT,STK_KPITTECH
IDX_NIFTY TOTAL MKT,STK_KRBL
IDX_NIFTY TOTAL MKT,STK_KRN
IDX_NIFTY TOTAL MKT,STK_KSB
IDX_NIFTY TOTAL MKT,STK_KAJARIACER
IDX_NIFTY TOTAL MKT,STK_KPIL
IDX_NIFTY TOTAL MKT,STK_KALYANKJIL
IDX_NIFTY TOTAL MKT,STK_KSL
IDX_NIFTY TOTAL MKT,STK_KTKBANK
IDX_NIFTY TOTAL MKT,STK_KARURVYSYA
IDX_NIFTY TOTAL MKT,STK_KSCL
IDX_NIFTY TOTAL MKT,STK_KAYNES
IDX_NIFTY TOTAL MKT,STK_KEC
IDX_NIFTY TOTAL MKT,STK_KFINTECH
IDX_NIFTY TOTAL MKT,STK_KIRLOSBROS
IDX_NIFTY TOTAL MKT,STK_KIRLOSENG
IDX_NIFTY TOTAL MKT,STK_KIRLPNU
IDX_NIFTY TOTAL MKT,STK_KITEX
IDX_NIFTY TOTAL MKT,STK_KOTAKBANK
IDX_NIFTY TOTAL MKT,STK_KIMS
IDX_NIFTY TOTAL MKT,STK_LTF
IDX_NIFTY TOTAL MKT,STK_LTTS
IDX_NIFTY TOTAL MKT,STK_LICHSGFIN
IDX_NIFTY TOTAL MKT,STK_LMW
IDX_NIFTY TOTAL MKT,STK_LTFOODS
IDX_NIFTY TOTAL MKT,STK_LTIM
IDX_NIFTY TOTAL MKT,STK_LT
IDX_NIFTY TOTAL MKT,STK_LATENTVIEW
IDX_NIFTY TOTAL MKT,STK_LAURUSLABS
IDX_NIFTY TOTAL MKT,STK_LXCHEM
IDX_NIFTY TOTAL MKT,STK_IXIGO
IDX_NIFTY TOTAL MKT,STK_THELEELA
IDX_NIFTY TOTAL MKT,STK_LEMONTREE
IDX_NIFTY TOTAL MKT,STK_LICI
IDX_NIFTY TOTAL MKT,STK_LINDEINDIA
IDX_NIFTY TOTAL MKT,STK_LLOYDSENGG
IDX_NIFTY TOTAL MKT,STK_LLOYDSENT
IDX_NIFTY TOTAL MKT,STK_LLOYDSME
IDX_NIFTY TOTAL MKT,STK_LODHA
IDX_NIFTY TOTAL MKT,STK_LUMAXTECH
IDX_NIFTY TOTAL MKT,STK_LUPIN
IDX_NIFTY TOTAL MKT,STK_LUXIND
IDX_NIFTY TOTAL MKT,STK_MMTC
IDX_NIFTY TOTAL MKT,STK_MOIL
IDX_NIFTY TOTAL MKT,STK_MRF
IDX_NIFTY TOTAL MKT,STK_MSTCLTD
IDX_NIFTY TOTAL MKT,STK_MTARTECH
IDX_NIFTY TOTAL MKT,STK_MGL
IDX_NIFTY TOTAL MKT,STK_MAHSCOOTER
IDX_NIFTY TOTAL MKT,STK_MAHSEAMLES
IDX_NIFTY TOTAL MKT,STK_M&MFIN
IDX_NIFTY TOTAL MKT,STK_M&M
IDX_NIFTY TOTAL MKT,STK_MAHLIFE
IDX_NIFTY TOTAL MKT,STK_MANINFRA
IDX_NIFTY TOTAL MKT,STK_MANAPPURAM
IDX_NIFTY TOTAL MKT,STK_MRPL
IDX_NIFTY TOTAL MKT,STK_MANKIND
IDX_NIFTY TOTAL MKT,STK_MANORAMA
IDX_NIFTY TOTAL MKT,STK_MARICO
IDX_NIFTY TOTAL MKT,STK_MARKSANS
IDX_NIFTY TOTAL MKT,STK_MARUTI
